date,rank,name,id,points
19730820,1,Ilie Nastase,N008,281
19730820,2,Stan Smith,S060,250
19730820,3,John Newcombe,N044,136
19730820,4,Arthur Ashe,A063,221
19730820,5,Tom Okker,O032,187
19730820,6,Manuel Orantes,O017,134
19730820,7,Rod Laver,L058,82
19730820,8,Jan Kodes,K049,96
19730820,9,Tom Gorman,G078,134
19730820,10,Ken Rosewall,R075,86
19730820,11,Marty Riessen,R055,117
19730820,12,Jimmy Connors,C044,82
19730820,13,Roscoe Tanner,T006,100
19730820,14,Roy Emerson,E030,94
19730820,15,Nikola Pilic,P080,114
19730820,16,Cliff Richey,R071,110
19730820,17,Roger Taylor,T050,96
19730820,18,Mark Cox,C090,98
19730820,19,Adriano Panatta,P059,56
19730820,20,Cliff Drysdale,D082,75
19730820,21,Robert Lutz,L045,70
19730820,22,Jaime Fillol Sr.,F024,75
19730820,23,Paolo Bertolucci,B129,35
19730820,24,Andres Gimeno,G075,36
19730820,25,Karl Meiler,M055,34
19730820,26,Brian Gottfried,G029,70
19730820,27,Dick Stockton,S090,61
19730820,28,Guillermo Vilas,V028,22
19730820,29,Brian Fairlie,F066,60
19730820,30,John Alexander,A014,63
19730820,31,Patrick Proisy,P085,32
19730820,32,Fred Stolle,S129,37
19730820,33,Bob Hewitt,H058,19
19730820,34,Alex Metreveli,M271,28
19730820,35,Colin Dibley,D076,62
19730820,36,Bjorn Borg,B058,23
19730820,37,Raymond Moore,M118,46
19730820,38,Erik Van Dillen,V049,32
19730820,39,Jurgen Fassbender,F068,16
19730820,40,Francois Jauffret,J031,20
19730820,41,Paul Gerken,G073,32
19730820,41,Jiri Hrebec,H066,18
19730820,43,Andrew Pattison,P074,44
19730820,44,Dick Crealy,C093,33
19730820,45,Patrice Dominguez,D080,28
19730820,45,Vitas Gerulaitis,G008,14
19730820,47,Ismail El Shafei,E038,40
19730820,48,Eddie Dibbs,D026,23
19730820,49,Raul Ramirez,R065,16
19730820,50,Sandy Mayer,M039,13
19730820,51,Frew McMillan,M111,36
19730820,52,Charlie Pasarell,P072,32
19730820,53,Onny Parun,P070,36
19730820,54,Ross Case,C020,32
19730820,55,Peter Szoke,S230,14
19730820,56,Allan Stone,S148,36
19730820,57,Bob Carmichael,C080,36
19730820,58,Harald Elschenbroich,E037,11
19730820,59,Georges Goven,G031,24
19730820,60,Ove Nils Bengtson,B126,21
19730820,60,Clark Graebner,G079,11
19730820,62,Harold Solomon,S065,20
19730820,63,Vijay Amritraj,A022,12
19730820,64,Jeff Borowiak,B059,28
19730820,64,Hans-Jurgen Pohmann,P082,10
19730820,66,Martin Mulligan,M155,15
19730820,67,John Cooper,C171,13
19730820,68,Phil Dent,D074,29
19730820,69,Barry Phillips-Moore,P078,22
19730820,70,Bernard Mignot,M151,8
19730820,71,Boro Jovanovic,J033,12
19730820,72,Antonio Zugarelli,Z013,9
19730820,73,Frank Froehling,F079,24
19730820,74,Geoff Masters,M139,13
19730820,75,Antonio Munoz,M156,16
19730820,76,Pierre Barthes,B122,15
19730820,77,Gerald Battrick,B124,24
19730820,78,Haroon Rahim,R063,21
19730820,79,Juan Gisbert Sr,G076,10
19730820,79,Gene Scott,S210,7
19730820,81,Wanaro N'Godrella,N045,12
19730820,82,Wilhelm Bungert,B237,6
19730820,83,Robert Maud,M140,15
19730820,83,Ion Tiriac,T040,15
19730820,85,Terry Addison,A056,12
19730820,85,Owen Davidson,D054,6
19730820,87,Mike Estep,E040,12
19730820,88,Vladimir Korotkov,K097,6
19730820,89,Patricio Cornejo,C088,12
19730820,90,Ian Fletcher,F071,14
19730820,91,Jim McManus,M144,15
19730820,92,Milan Holecek,H059,11
19730820,92,Tom Edlefsen,E035,10
19730820,92,Leif Johansson,J064,5
19730820,92,Mal Anderson,A060,5
19730820,92,Bob Giltinan,G074,5
19730820,92,Buster C. Mottram,M154,5
19730820,92,Charles Owens,O033,5
19730820,99,Jaime Pinto-Bravo,P067,5
19730820,100,Butch Seewagen,S139,4
19730820,101,John Paish,P142,6
19730820,102,Jean-Baptiste Chanfreau,C083,10
19730820,103,Zeljko Franulovic,F074,5
19730820,104,Pancho Musalem,M222,4
19730820,104,Alejandro Olmedo,O042,4
19730820,104,Ray Ruffels,R076,4
19730820,104,Sherwood Stewart,S082,4
19730820,104,Dick Dell,D073,4
19730820,104,Jeff Austin,A065,4
19730820,110,Vladimir Zednik,Z023,7
19730820,111,Frantisek Pala,P100,8
19730820,111,Corrado Barazzutti,B007,4
19730820,113,Jaidip Mukerjea,M272,4
19730820,113,Rick Fisher,F070,4
19730820,113,Jan Kukal,K099,4
19730820,116,Marcelo Lara,L057,4
19730820,117,Pat Cramer,C091,6
19730820,118,Jose Edison Mandarino,M135,5
19730820,119,Rafael Ruiz,R209,3
19730820,119,Tadeusz Nowicki,N082,3
19730820,119,Jean-Claude Barclay,B119,3
19730820,119,Brian Teacher,T011,3
19730820,119,Jose Guerrero,G183,3
19730820,119,John Lloyd,L036,3
19730820,125,Tom Leonard,L061,6
19730820,125,Stephen Warboys,W090,3
19730820,125,Ivan Molina,M152,3
19730820,128,Hans Kary,K041,4
19730820,129,Graham Stilwell,S147,8
19730820,130,Joaquin Loyo-Mayo,L066,4
19730820,130,Herb Fitzgibbon,F109,2
19730820,130,Jean-Loup Rouyer,R141,2
19730820,130,D. Richard Russell,R077,2
19730820,130,Jim Delaney,D072,2
19730820,130,Sashi Menon,M058,2
19730820,130,Attila Korpas,K090,2
19730820,130,Terry Ryan,R078,2
19730820,130,Robert Machan,M194,2
19730820,130,Jeff Simpson,S123,2
19730820,130,Toshiro Sakai,S103,2
19730820,130,John Bartlett,B123,2
19730820,142,Torben Ulrich,U011,4
19730820,143,Szabolcz Baranyi,B233,3
19730820,143,Anand Amritraj,A021,3
19730820,145,Nicholas Kalogeropoulos,K045,2
19730820,146,Richard Pancho Gonzales,G077,2
19730820,146,Grover Raz Reid,R068,2
19730820,146,Patrick Hombergen,H127,2
19730820,146,William Higgins,H129,2
19730820,146,Robert McKinley,M293,2
19730820,146,Jasjit Singh,S142,2
19730820,152,Premjit Lall,L117,2
19730820,152,Jun Kamiwazumi,K002,2
19730820,152,John Feaver,F008,2
19730820,155,Roy Barth,B121,4
19730820,156,Frank Gebert,G071,2
19730820,156,Teimuraz Kakoulia,NA,2
19730820,156,Humphrey Hose,H064,2
19730820,156,Jean-Louis Haillet,H041,2
19730820,156,William Brown,B134,2
19730820,156,Fred McNair,NA,2
19730820,156,Byron Bertram,B130,2
19730820,156,Modesto Tito Vazquez,V051,2
19730820,156,Ezio Di Matteo,D135,2
19730820,156,David Lloyd,L083,2
19730820,166,Thomas Koch,NA,1
19730820,166,Alejandro Riba,NA,1
19730820,166,Luis Bruguera,B195,1
19730820,166,Richard Dick Knight,K081,1
19730820,166,John De Mendoza,D136,1
19730820,166,Petr Kanderal,K113,1
19730820,166,John Whitlinger,W051,1
19730820,166,Shamil Tarpischev,T035,1
19730820,166,Rolf Norberg,N048,1
19730820,166,Ulrich Pinner,P034,1
19730820,166,Mike Machette,M132,1
19730820,166,Elio Lito Alvarez,A057,1
19730820,166,Dick R. Bohrnstedt,B238,1
19730820,166,Mike Kreiss,K132,1
19730820,166,Jacques Thamin,T099,1
19730820,166,Dennis Ralston,R064,1
19730820,166,Pat Dupre,D048,1
19730820,166,Istvan Gulyas,G151,1
19730820,166,Kjell Johansson,J032,1
19730820,185,Whitney Reed,R590,0
19730820,185,Trey Waltke,W045,0
19730820,185,David Mitchell,MD26,0
19730820,185,Jerry Van Linge,V086,0
19730820,185,Henry Kamakana,K147,0
19730820,185,Michael Phillips,P180,0
19730820,185,Max Senior,S249,0
19730820,185,Chris Kachel,K044,0
19730820,185,William Coghlan,C228,0
19730820,185,Graeme Thomson,T096,0
19730820,185,John Stephens,S304,0
19730820,185,Cliff Letcher,L062,0
19730820,185,Colin Dowdeswell,D037,0
19730820,185,Bernard Mitton,M072,0
19730820,185,Frank Falderbaum,F132,0
19730820,185,Eugenio Castigliano,C173,0
19730820,185,Giuseppe Merlo,M276,0
19730820,185,Jonathan Smith,S059,0
19730820,185,Tony Parun,P071,0
19730820,185,Anatoli Volkov,V131,0
19730820,185,Rudolf Hoskowetz,H183,0
19730820,185,Bertalan Csoknyai,C227,0
19730820,185,Tom Christensen,C226,0
19730820,185,Rudy Hernando,H098,0
19730820,185,Belus Prajoux,P046,0
19730820,185,Vittorio Crotta,C123,0
19730820,185,Jose Castanon,C189,0
19730820,185,Hans-Joachim Ploetz,P081,0
19730820,185,Jan Hordijk,H166,0
19730820,185,Terry Moor,M081,0
19730820,185,Doug Crawford,C053,0
19730820,185,Janos Benyik,B202,0
19730820,185,Zan Guerry,G116,0
19730820,185,Jim Osborne,O046,0
19730820,185,Richard Lewis,L025,0
19730820,185,Mike Belkin,B125,0
19730820,185,Tony Bardsley,B120,0
19730820,185,Syd Ball,B106,0
19730820,185,Julian Ganzabal,G068,0
19730820,185,Victor Amaya,A044,0
19730820,185,Paul Kronk,K073,0
19730820,185,Hans Engert,E063,0
19730820,185,Jean-Francois Caujolle,C082,0
19730820,185,Piero Toci,T086,0
19730820,185,Patricio Rodriguez,R074,0
19730820,185,Vincenzo Franchitti,F103,0
19730820,185,Franklin Robbins,R096,0
19730820,232,Nicola Spear,S146,0
19730820,233,Kim Warwick,W006,0
19730820,234,Steve Faulk,F069,0
19730820,0,Ken Binns,B902,0
19730820,0,Tony Roche,R073,0
