date,rank,name,id,points
19740107,1,Ilie Nastase,N008,821
19740107,2,Jimmy Connors,C044,501
19740107,3,John Newcombe,N044,456
19740107,4,Tom Okker,O032,709
19740107,5,Stan Smith,S060,559
19740107,6,Ken Rosewall,R075,437
19740107,7,Manuel Orantes,O017,520
19740107,8,Rod Laver,L058,414
19740107,9,Arthur Ashe,A063,527
19740107,10,Jan Kodes,K049,330
19740107,11,Tom Gorman,G078,392
19740107,12,Adriano Panatta,P059,248
19740107,13,Roy Emerson,E030,229
19740107,14,Marty Riessen,R055,294
19740107,15,Roger Taylor,T050,267
19740107,16,Jaime Fillol Sr.,F024,343
19740107,17,Nikola Pilic,P080,330
19740107,18,Bjorn Borg,B058,270
19740107,19,Cliff Richey,R071,293
19740107,20,Karl Meiler,M055,204
19740107,21,Raul Ramirez,R065,193
19740107,22,Brian Gottfried,G029,354
19740107,23,Mark Cox,C090,279
19740107,24,Eddie Dibbs,D026,193
19740107,25,Roscoe Tanner,T006,283
19740107,26,Cliff Drysdale,D082,220
19740107,27,John Alexander,A014,275
19740107,28,Paolo Bertolucci,B129,176
19740107,29,Brian Fairlie,F066,188
19740107,30,Dick Stockton,S090,204
19740107,31,Guillermo Vilas,V028,130
19740107,32,Alex Metreveli,M271,115
19740107,33,Vijay Amritraj,A022,122
19740107,34,Buster C. Mottram,M154,91
19740107,35,Jurgen Fassbender,F068,117
19740107,36,Robert Lutz,L045,107
19740107,37,Hans-Jurgen Pohmann,P082,85
19740107,38,Fred Stolle,S129,120
19740107,39,Erik Van Dillen,V049,145
19740107,40,Ross Case,C020,212
19740107,41,Phil Dent,D074,199
19740107,42,Colin Dibley,D076,202
19740107,43,Clark Graebner,G079,81
19740107,44,Raymond Moore,M118,213
19740107,45,Patrick Proisy,P085,102
19740107,45,Francois Jauffret,J031,72
19740107,47,Paul Gerken,G073,153
19740107,48,Jiri Hrebec,H066,96
19740107,49,Charlie Pasarell,P072,162
19740107,50,Geoff Masters,M139,107
19740107,51,Onny Parun,P070,191
19740107,52,Ivan Molina,M152,90
19740107,53,Dick Crealy,C093,150
19740107,54,Andrew Pattison,P074,146
19740107,55,Vitas Gerulaitis,G008,58
19740107,56,Jeff Austin,A065,56
19740107,57,Ove Nils Bengtson,B126,113
19740107,58,Georges Goven,G031,108
19740107,58,Patrice Dominguez,D080,90
19740107,60,Zeljko Franulovic,F074,84
19740107,61,Allan Stone,S148,137
19740107,62,Kjell Johansson,J032,63
19740107,63,Barry Phillips-Moore,P078,134
19740107,64,Martin Mulligan,M155,71
19740107,65,Harold Solomon,S065,91
19740107,66,Peter Szoke,S230,53
19740107,67,Frank Froehling,F079,100
19740107,67,Bob Giltinan,G074,48
19740107,69,Gerald Battrick,B124,146
19740107,70,Frew McMillan,M111,129
19740107,71,Pierre Barthes,B122,74
19740107,72,Leif Johansson,J064,46
19740107,73,Sherwood Stewart,S082,55
19740107,73,Owen Davidson,D054,44
19740107,75,Ion Tiriac,T040,97
19740107,76,Sandy Mayer,M039,43
19740107,77,Robert Maud,M140,56
19740107,77,Boro Jovanovic,J033,49
19740107,79,Toshiro Sakai,S103,41
19740107,80,Jose Higueras,H019,40
19740107,80,Harald Elschenbroich,E037,40
19740107,82,Mike Estep,E040,91
19740107,83,Juan Gisbert Sr,G076,45
19740107,84,Andres Gimeno,G075,38
19740107,84,Charles Owens,O033,38
19740107,86,Antonio Munoz,M156,79
19740107,87,Jeff Borowiak,B059,101
19740107,88,Antonio Zugarelli,Z013,47
19740107,88,Jaime Pinto-Bravo,P067,47
19740107,90,Ismail El Shafei,E038,72
19740107,91,Vladimir Zednik,Z023,71
19740107,92,Jean-Baptiste Chanfreau,C083,76
19740107,93,Haroon Rahim,R063,99
19740107,94,Ian Fletcher,F071,91
19740107,95,Milan Holecek,H059,88
19740107,96,Hans Kary,K041,41
19740107,97,Bob Carmichael,C080,104
19740107,98,Wanaro N'Godrella,N045,57
19740107,99,Jeff Simpson,S123,48
19740107,100,John Lloyd,L036,38
19740107,101,Syd Ball,B106,32
19740107,102,Corrado Barazzutti,B007,41
19740107,103,Patricio Cornejo,C088,58
19740107,104,Jim McManus,M144,79
19740107,105,John Paish,P142,32
19740107,106,John Cooper,C171,29
19740107,106,Butch Seewagen,S139,29
19740107,108,Jose Edison Mandarino,M135,45
19740107,109,Fred McNair IV,M146,33
19740107,110,Dick R. Bohrnstedt,B238,28
19740107,111,Anand Amritraj,A021,37
19740107,112,Pat Cramer,C091,46
19740107,113,Graham Stilwell,S147,73
19740107,114,Jasjit Singh,S142,36
19740107,114,Paul Kronk,K073,27
19740107,116,Kim Warwick,W006,44
19740107,117,Torben Ulrich,U011,48
19740107,118,Jun Kamiwazumi,K002,26
19740107,119,Dick Dell,D073,28
19740107,120,Marcelo Lara,L057,43
19740107,121,John Feaver,F008,30
19740107,122,Tom Edlefsen,E035,51
19740107,123,Bernard Mignot,M151,25
19740107,123,Julian Ganzabal,G068,25
19740107,125,John Bartlett,B123,39
19740107,126,Frantisek Pala,P100,32
19740107,126,Mal Anderson,A060,24
19740107,128,Terry Addison,A056,25
19740107,129,Tenny Svensson,S149,23
19740107,129,Attila Korpas,K090,23
19740107,129,Nicholas Kalogeropoulos,K045,23
19740107,132,Tom Leonard,L061,32
19740107,133,Roy Barth,B121,39
19740107,134,Jaidip Mukerjea,M272,22
19740107,134,Byron Bertram,B130,22
19740107,134,Stephen Warboys,W090,22
19740107,134,Premjit Lall,L117,22
19740107,138,Richard Pancho Gonzales,G077,21
19740107,138,Jan Kukal,K099,21
19740107,140,Terry Ryan,R078,24
19740107,141,Brian Teacher,T011,20
19740107,142,Joaquin Loyo-Mayo,L066,28
19740107,143,Jim Delaney,D072,18
19740107,143,Nicola Spear,S146,18
19740107,145,Steve Faulk,F069,20
19740107,146,Vladimir Korotkov,K097,17
19740107,146,Gene Scott,S210,17
19740107,146,Robert Machan,M194,17
19740107,149,William Lloyd,L064,23
19740107,150,D. Richard Russell,R077,16
19740107,150,Szabolcz Baranyi,B233,16
19740107,150,William Brown,B134,16
19740107,153,Jean-Loup Rouyer,R141,15
19740107,154,Tadeusz Nowicki,N082,14
