date,rank,name,id,points
19760105,1,Guillermo Vilas,V028,895
19760105,2,Jimmy Connors,C044,706
19760105,3,Bjorn Borg,B058,721
19760105,4,Arthur Ashe,A063,897
19760105,5,Manuel Orantes,O017,882
19760105,6,Ken Rosewall,R075,415
19760105,7,Ilie Nastase,N008,700
19760105,8,John Alexander,A014,576
19760105,9,Roscoe Tanner,T006,569
19760105,10,Rod Laver,L058,352
19760105,11,Tom Okker,O032,325
19760105,12,Raul Ramirez,R065,629
19760105,13,Tony Roche,R073,260
19760105,14,Adriano Panatta,P059,485
19760105,15,Vitas Gerulaitis,G008,284
19760105,16,Eddie Dibbs,D026,457
19760105,17,Jaime Fillol Sr.,F024,477
19760105,18,Harold Solomon,S065,582
19760105,19,Jan Kodes,K049,342
19760105,20,Stan Smith,S060,324
19760105,21,Robert Lutz,L045,349
19760105,22,Brian Gottfried,G029,482
19760105,23,John Newcombe,N044,169
19760105,24,Ross Case,C020,321
19760105,25,Mark Cox,C090,179
19760105,26,Marty Riessen,R055,192
19760105,27,Onny Parun,P070,397
19760105,28,Sandy Mayer,M039,298
19760105,29,Dick Stockton,S090,239
19760105,30,Vijay Amritraj,A022,291
19760105,31,Cliff Richey,R071,257
19760105,32,Karl Meiler,M055,261
19760105,33,Phil Dent,D074,290
19760105,34,Bob Hewitt,H058,164
19760105,35,Buster C. Mottram,M154,163
19760105,36,Cliff Drysdale,D082,174
19760105,37,Andrew Pattison,P074,177
19760105,38,Patrick Proisy,P085,141
19760105,39,Allan Stone,S148,179
19760105,40,Francois Jauffret,J031,126
19760105,41,Tom Gorman,G078,232
19760105,42,Juan Gisbert Sr,G076,238
19760105,43,Corrado Barazzutti,B007,154
19760105,44,Ricardo Cano,C010,103
19760105,45,Jeff Borowiak,B059,187
19760105,46,Jose Higueras,H019,194
19760105,47,Geoff Masters,M139,172
19760105,48,Nikola Pilic,P080,95
19760105,49,Roger Taylor,T050,156
19760105,50,Alex Metreveli,M271,94
19760105,51,Bernard Mitton,M072,126
19760105,52,Jiri Hrebec,H066,111
19760105,53,Kim Warwick,W006,150
19760105,54,Ivan Molina,M152,217
19760105,55,Victor Pecci,,128
19760105,56,Mark Edmondson,E005,73
19760105,57,Ulrich Pinner,P034,121
19760105,58,Wojtek Fibak,F020,197
