date,rank,name,id,points
19810104,1,Bjorn Borg,B058,0
19810104,2,John McEnroe,M047,0
19810104,3,Jimmy Connors,C044,0
19810104,4,Gene Mayer,M038,0
19810104,5,Guillermo Vilas,V028,0
19810104,6,Ivan Lendl,L018,0
19810104,7,Harold Solomon,S065,0
19810104,8,Jose-Luis Clerc,C039,0
19810104,9,Vitas Gerulaitis,G008,0
19810104,10,Eliot Teltscher,T012,0
19810104,11,Brian Gottfried,G029,0
19810104,12,Brian Teacher,T011,0
19810104,13,Eddie Dibbs,D026,0
19810104,14,Roscoe Tanner,T006,0
19810104,15,Wojtek Fibak,F020,0
19810104,16,John Sadri,S005,0
19810104,17,Victor Amaya,A044,0
19810104,18,Johan Kriek,K022,0
19810104,19,Balazs Taroczy,T007,0
19810104,20,Vijay Amritraj,A022,0
19810104,21,Robert Lutz,L045,0
19810104,22,Kim Warwick,W006,0
19810104,23,Yannick Noah,N022,0
19810104,24,Corrado Barazzutti,B007,0
19810104,24,Tomas Smid,S058,0
19810104,26,Bill Scanlon,S017,0
19810104,27,Heinz Gunthardt,G050,0
19810104,28,Mel Purcell,P057,0
19810104,29,Peter McNamara,M051,0
19810104,30,Stan Smith,S060,0
19810104,31,Paul McNamee,M050,0
19810104,32,Jose Higueras,H019,0
19810104,33,Hans Gildemeister,G015,0
19810104,34,Adriano Panatta,P059,0
19810104,35,Victor Pecci,P015,0
19810104,36,Raul Ramirez,R065,0
19810104,37,Mario Martinez,M026,0
19810104,38,Peter Fleming,F030,0
19810104,39,Rolf Gehring,G007,0
19810104,40,Vincent Van Patten,V010,0
19810104,41,Fritz Buehning,B079,0
19810104,42,Phil Dent,D074,0
19810104,43,Andres Gomez,G023,0
19810104,44,Buster C. Mottram,M154,0
19810104,45,Tim Gullikson,G048,0
19810104,46,Trey Waltke,W045,0
19810104,47,Kevin Curren,C057,0
19810104,48,Christophe Roger-Vasselin,R037,0
19810104,49,Butch Walts,W002,0
19810104,50,Marcos Hocevar,H026,0
19810104,51,Terry Moor,M081,0
19810104,52,Sandy Mayer,M039,0
19810104,53,Pat Dupre,D048,0
19810104,53,Ramesh Krishnan,K024,0
19810104,55,Rod Frawley,F039,0
19810104,56,Thomaz Koch,K036,0
19810104,57,Shlomo Glickstein,G019,0
19810104,58,Manuel Orantes,O017,0
19810104,58,Andrew Pattison,P074,0
19810104,60,Bernard Mitton,M072,0
19810104,61,Pascal Portes,P042,0
19810104,62,Carlos Kirmayr,K009,0
19810104,62,Peter Rennert,R017,0
19810104,64,Tom Gullikson,G049,0
19810104,65,Pavel Slozil,S056,0
19810104,66,Chris Lewis,L024,0
19810104,67,Jose Luis Damiani,D069,0
19810104,68,Per Hjertquist,H024,0
19810104,69,Paolo Bertolucci,B129,0
19810104,70,Fernando Luna,L043,0
19810104,71,Ricardo Cano,C010,0
19810104,72,Tony Giammalva,G011,0
19810104,73,Ricardo Ycaza,Y007,0
19810104,74,Francisco Gonzalez,G024,0
19810104,75,Henry Pfister,P026,0
19810104,76,Russell Simpson,S052,0
19810104,77,Peter Feigl,F011,0
19810104,78,Gustavo Guerrero,G047,0
19810104,79,Bruce Manson,M014,0
19810104,79,Ilie Nastase,N008,0
19810104,81,Ferdi Taygan,T037,0
19810104,82,Christophe Freyss,F042,0
19810104,83,Eduardo Bengoechea,B035,0
19810104,84,Sherwood Stewart,S082,0
19810104,85,Tim Wilkison,W019,0
19810104,86,Zeljko Franulovic,F074,0
19810104,86,Angel Gimenez,G017,0
19810104,88,Kjell Johansson,J032,0
19810104,89,Rick Meyer,M061,0
19810104,90,Van Winitsky,W027,0
19810104,91,Marty Riessen,R055,0
19810104,92,John Hayes,H010,0
19810104,92,Paul Kronk,K073,0
19810104,94,Gianni Ocleppo,O004,0
19810104,95,Colin Dibley,D076,0
19810104,96,Nick Saviano,S111,0
19810104,96,Robert Van't Hof,V008,0
19810104,98,John Austin,A053,0
19810104,99,Haroon Ismail,I005,0
19810104,100,Onny Parun,P070,0
19810104,101,Jean-Francois Caujolle,C082,0
19810104,102,Mark Edmondson,E005,0
19810104,103,Dominique Bedel,B030,0
19810104,104,Klaus Eberhard,E003,0
19810104,104,Louk Sanders,S136,0
19810104,106,Eddie Edwards,E006,0
19810104,107,Tom Okker,O032,0
19810104,108,Howard Schoenfield,S137,0
19810104,109,Jan Norback,N047,0
19810104,110,Peter Elter,E013,0
19810104,111,John Alexander,A014,0
19810104,112,Raymond Moore,M118,0
19810104,113,Thierry Tulasne,T032,0
19810104,114,Pavel Hutka,H097,0
19810104,115,Brad Drewett,D040,0
19810104,115,Hans Simonsson,S053,0
19810104,115,Gabriel Urpi,U007,0
19810104,118,Anand Amritraj,A021,0
19810104,118,Jose Lopez-Maeso,L039,0
19810104,118,Billy Martin,M138,0
19810104,121,Terry Rocavert,R072,0
19810104,122,Steve Docherty,D078,0
19810104,123,Sashi Menon,M058,0
19810104,124,Chris Mayotte,M141,0
19810104,125,Ben McKown,M143,0
19810104,125,Pedro Rebolledo,R012,0
19810104,127,Wolfgang Popp,P041,0
19810104,128,Eric Deblicker,D063,0
19810104,128,Antonio Zugarelli,Z013,0
19810104,130,Jonathan Smith,S059,0
19810104,130,Gustavo Tiberti,T020,0
19810104,132,Jiri Hrebec,H066,0
19810104,133,Guillermo Aubone,A064,0
19810104,134,Steve Krulevitz,K053,0
19810104,135,Rick Fagel,F001,0
19810104,136,John Fitzgerald,F028,0
19810104,137,Chris Johnstone,J014,0
19810104,138,Dick Stockton,S090,0
19810104,138,Jairo Velasco Sr,V294,0
19810104,140,Mark Cox,C090,0
19810104,141,Alvaro Fillol,F025,0
19810104,142,Stefan Simonsson,S051,0
19810104,143,Hans Kary,K041,0
19810104,144,Deon Joubert,J021,0
19810104,145,David Carter,C072,0
19810104,146,Syd Ball,B106,0
19810104,146,Christophe Casa,C073,0
19810104,146,Patrice Dominguez,D080,0
19810104,146,George Hardie,H056,0
19810104,148,Patrick Proisy,P085,0
19810104,148,Charles Buzz Strode,S092,0
19810104,150,Byron Bertram,B130,0
19810104,151,Ricardo Acuna,A002,0
19810104,151,Georges Goven,G031,0
19810104,153,Stanislav Birner,B046,0
19810104,154,Belus Prajoux,P046,0
19810104,155,Bernard Boileau,B054,0
19810104,156,Tom Gorman,G078,0
19810104,157,Roberto Vizcaino,V035,0
19810104,158,Emilio Montano,M153,0
19810104,161,Ulrich Marten,M137,0
19810104,162,John Feaver,F008,0
19810104,163,Ross Case,C020,0
19810104,164,Alvaro Betancur,B131,0
19810104,164,Bernard Fritz,F045,0
