num,date,ur
663,19910415,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-04-15
664,19910422,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-04-22
665,19910429,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-04-29
666,19910506,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-05-06
667,19910513,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-05-13
668,19910520,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-05-20
669,19910527,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-05-27
670,19910603,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-06-03
671,19910610,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-06-10
672,19910617,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-06-17
673,19910624,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-06-24
674,19910701,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-07-01
675,19910708,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-07-08
676,19910715,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-07-15
677,19910722,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-07-22
678,19910729,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-07-29
679,19910805,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-08-05
680,19910812,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-08-12
681,19910819,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-08-19
682,19910826,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-08-26
683,19910902,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-09-02
684,19910909,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-09-09
685,19910916,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-09-16
686,19910923,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-09-23
687,19910930,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-09-30
688,19911007,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-10-07
689,19911014,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-10-14
690,19911021,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-10-21
691,19911028,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-10-28
692,19911104,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-11-04
693,19911111,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-11-11
694,19911118,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-11-18
695,19911125,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-11-25
696,19911202,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-12-02
697,19911209,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-12-09
698,19911216,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-12-16
699,19911223,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-12-23
700,19911230,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1991-12-30
701,19920106,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-01-06
702,19920113,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-01-13
703,19920120,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-01-20
704,19920127,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-01-27
705,19920203,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-02-03
706,19920210,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-02-10
707,19920217,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-02-17
708,19920224,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-02-24
709,19920302,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-03-02
710,19920309,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-03-09
711,19920316,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-03-16
712,19920323,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-03-23
713,19920330,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-03-30
714,19920406,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-04-06
715,19920413,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-04-13
716,19920420,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-04-20
717,19920427,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-04-27
718,19920504,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-05-04
719,19920511,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-05-11
720,19920518,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-05-18
721,19920525,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-05-25
722,19920601,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-06-01
723,19920608,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-06-08
724,19920615,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-06-15
725,19920622,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-06-22
726,19920629,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-06-29
727,19920706,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-07-06
728,19920713,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-07-13
729,19920720,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-07-20
730,19920727,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-07-27
731,19920803,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-08-03
732,19920810,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-08-10
733,19920817,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-08-17
734,19920824,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-08-24
735,19920831,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-08-31
736,19920907,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-09-07
737,19920914,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-09-14
738,19920921,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-09-21
739,19920928,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-09-28
740,19921005,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-10-05
