"num","date","url"
1,"19730823","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1973-08-23"
2,"19730913","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1973-09-13"
3,"19730926","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1973-09-26"
4,"19731015","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1973-10-15"
5,"19731031","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1973-10-31"
6,"19731126","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1973-11-26"
7,"19731214","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1973-12-14"
8,"19740302","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1974-03-02"
9,"19740419","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1974-04-19"
10,"19740501","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1974-05-01"
11,"19740603","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1974-06-03"
12,"19740729","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1974-07-29"
13,"19740809","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1974-08-09"
14,"19740904","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1974-09-04"
15,"19740927","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1974-09-27"
16,"19741106","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1974-11-06"
17,"19741220","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1974-12-20"
18,"19750117","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-01-17"
19,"19750305","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-03-05"
20,"19750408","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-04-08"
21,"19750430","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-04-30"
22,"19750602","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-06-02"
23,"19750626","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-06-26"
24,"19750719","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-07-19"
25,"19750804","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-08-04"
26,"19750821","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-08-21"
27,"19750916","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-09-16"
28,"19751021","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-10-21"
29,"19751116","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-11-16"
30,"19751215","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1975-12-15"
31,"19760215","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-02-15"
32,"19760301","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-03-01"
33,"19760318","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-03-18"
34,"19760329","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-03-29"
35,"19760405","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-04-05"
36,"19760425","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-04-25"
37,"19760510","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-05-10"
38,"19760516","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-05-16"
39,"19760531","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-05-31"
40,"19760614","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-06-14"
41,"19760621","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-06-21"
42,"19760706","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-07-06"
43,"19760712","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-07-12"
44,"19760726","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-07-26"
45,"19760810","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-08-10"
46,"19760824","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-08-24"
47,"19760830","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-08-30"
48,"19760913","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-09-13"
49,"19760927","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-09-27"
50,"19761011","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-10-11"
51,"19761025","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-10-25"
52,"19761107","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-11-07"
53,"19761122","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-11-22"
54,"19761212","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1976-12-12"
55,"19770103","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1977-01-03"
56,"19770116","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1977-01-16"
57,"19770131","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1977-01-31"
58,"19770215","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1977-02-15"
59,"19770228","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1977-02-28"
60,"19770314","https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1977-03-14"
